,News_Heading,Views_per_day,review_text
44,"Day 2 of UK rail strike: Only 20% of train services running, disruption and delays continue | WION",6200.0,day two uk rail strike train service running disruption delay continue
45,IEA chief issues warning: 'Russia may cut off Europe's gas supply' | International News | WION,141000.0,iea chief issue warning russia may cut europe gas supply international
46,Russian FM on Iran visit: Talks on Iran nuclear deal likely | Latest International News | WION,33000.0,russian fm iran visit talk iran nuclear deal likely international
47,Johnson faces double verdict: Will ongoing railway strike influence voters? | World News | WION,2700.0,johnson face double verdict ongoing railway strike influence voter
48,Afghanistan earthquake: Taliban calls for international help; multiple nations offer assistance,9300.0,afghanistan earthquake taliban call international help multiple nation offer assistance
49,Indian delegation led by CEA Nageswaran in Sri Lanka to hold talks on additional aid | WION,5800.0,indian delegation led cea nageswaran sri lanka hold talk additional aid
50,How India's T20 World Cup contenders fared in South Africa T20| WION Originals| Sports News,2400.0,india cup contender fared south africa original sport
51,"""China is our security anxiety and so is for India,"" says Australian defence minister | World News",7200.0,china security anxiety india say australian defence minister
52,Israel: Coalition partners vows to block Netanyahu comeback | World News | English News | WION,5300.0,israel coalition partner vow block netanyahu comeback
53,Bulgaria Political Crisis: Petkov's party to get second chance to propose government | World News,4200.0,bulgaria political crisis petkov party get second chance propose government
54,Malta's strict abortion ban: US couple seek medical transfer to UK | International News | WION,4000.0,malta strict abortion ban u couple seek medical transfer uk international
55,Afghanistan earthquake: Aerial view shows destruction by deadliest quake since 2002 | WION Shorts,22000.0,afghanistan earthquake aerial view show destruction deadliest quake since two thousand two short
56,"Russia-Ukraine war: Russia pounds Kharkiv & Eastern Donbas, Ukrainian soldiers fight back | WION",52000.0,russia ukraine war russia pound kharkiv eastern donbas ukrainian soldier fight back
57,Indian officials to hold talks on additional aid in Sri Lanka | International News | WION,4400.0,indian official hold talk additional aid sri lanka international
58,Pandemic to blame for rise in Abortions in England & Wales? | Latest International News | WION,7900.0,pandemic blame rise abortion england wale international
59,Traces of Polio virus found in London sewers | International News | English News | WION,4200.0,trace polio virus found london sewer international
60,Capitol riot hearing extends till July due to new evidence | International News | WION,2700.0,capitol riot hearing extends till july due new evidence international
61,BRICS Summit 2022: Indian PM Modi says BRICS crucial for post-covid recovery | World News | WION,20000.0,brics summit indian pm modi say brics crucial post covid recovery
62,US Fed chair Jerome Powell says recession a possibility | International News | English News | WION,23000.0,u fed chair jerome powell say recession possibility international
63,"US inflation hits 40-year-high, Americans worry about price hikes | World Business Watch | WION",27000.0,u inflation hit year high american worry price hike business watch
64,South Korean won falls the most for first time in 13 years | World Business Watch | WION,7200.0,south korean won fall first time thirteen year business watch
65,Electric Vehicles could take 33% of global sales by 2028 | World Business Watch | WION,3900.0,electric vehicle could take global sale two thousand twenty eight business watch
66,"Brazil's antitrust watchdog fines Citibank, Societe Generale | World Business Watch | WION",2400.0,brazil antitrust watchdog fine citibank societe generale business watch
67,"Volkswagen to cut working hours, wages in Brazil as auto parts shortage deepens | Business News",3200.0,volkswagen cut working hour wage brazil auto part shortage deepens business
68,Indian delegates to meet Sri Lankan PM & President to assess crisis | Latest World News | WION,5400.0,indian delegate meet sri lankan pm president ass crisis
69,Pakistan signs $2.3bn loan facility agreement with China | International News | English News | WION,22000.0,pakistan sign bn loan facility agreement china international
70,UK to stay under the jurisdiction of European human rights court | Latest English News | WION,3800.0,uk stay jurisdiction european human right court
71,US President Joe Biden unveils new plan to tackle rising fuel prices | International News | WION,34000.0,u president joe biden unveils new plan tackle rising fuel price international
72,BRICS summit 2022: Xi Jinping warns about 'expanding military alliances' | International News | WION,240000.0,brics summit xi jinping warns expanding military alliance international
73,WHO policy on Mental Health & Climate Change | A dual challenge for world | WION,4800.0,policy mental health climate change dual challenge
74,Climate change made flooding worse | 69 killed in Bangladesh | 129 dead in Northeast India | WION,7300.0,climate change made flooding worse sixty nine killed bangladesh one hundred twenty nine dead northeast india
75,WION Fineprint | No More Freebies! Influencers and doctors will have to pay 10% TDS,11000.0,fineprint no freebie influencers doctor pay tds
76,Mexico water supply buckles on worsening drought | Dams dry up in country | WION,23000.0,mexico water supply buckle worsening drought dam dry country
77,Water levels of Rome's historic river Tiber very low | Remains of Neronian Bridge emerge | WION,16000.0,water level rome historic river tiber very low remains neronian bridge emerge
78,Bulgaria Political Crisis: PM's Govt collapses in no-confidence vote | WION,11000.0,bulgaria political crisis pm govt collapse no confidence vote
79,Bar tending robot introduced in Munich to tackle labour shortages | WION,3600.0,bar tending robot introduced munich tackle labour shortage
80,Saudi Crown Prince & Erdogan hold one-to-one talks | MBS receives ceremonial in Ankara | WION,11000.0,saudi crown prince erdogan hold one one talk mb receives ceremonial ankara
81,Afghanistan earthquake kills at least 1000 | India & Pakistan promise assistance | WION,19000.0,afghanistan earthquake kill least one thousand india pakistan promise assistance
82,Ethiopian PM plants trees for 'Green Legacy' project | Campaign to plant six billion trees,2600.0,ethiopian pm plant tree green legacy project campaign plant six billion tree
83,"WION Fineprint | Russia eyes Arctic dominance, Canada & US play catch-up",49000.0,fineprint russia eye arctic dominance canada u play catch
84,WION Fineprint | Chinese health tracker now a surveillance tool?,4600.0,fineprint chinese health tracker surveillance tool
85,Scientists probe link between 'Snow Blood' & Climate Change | WION Climate Tracker,12000.0,scientist probe link snow blood climate change climate tracker
86,Gravitas: Saudi Crown Prince meets Erdogan in Turkey,66000.0,saudi crown prince meet erdogan turkey
87,Gravitas: Floods inundate China's southern provinces,32000.0,flood inundate china southern province
88,Gravitas: Biocon executives charged with bribing regulators,58000.0,biocon executive charged bribing regulator
89,Gravitas: India-China trade booms despite border aggression,107000.0,india china trade boom despite border aggression
90,Gravitas with Palki Sharma: Putin threatens to use nuclear weapons | World News | WION,41000.0,putin threatens use nuclear weapon
91,Gravitas Global Headlines: Texas: Uvalde school to be demolished; Pakistan secures IMF deal,3900.0,global headline texas uvalde school demolished pakistan secures imf deal
92,Gravitas: Russian Rouble surges as Asian currencies slide,341000.0,russian rouble surge asian currency slide
93,Gravitas: Social media influencers will now need to pay TDS on freebies,76000.0,social medium influencers need pay tds freebie
94,Gravitas: Putin: Russia will use nukes to defend sovereignty,322000.0,putin russia use nuke defend sovereignty
95,Gravitas: Is China's Communist Party afraid of Tesla cars?,52000.0,china communist party afraid tesla car
96,"Gravitas: 5.9 Magnitude earthquake kills 1,000 in Afghanistan",48000.0,magnitude earthquake kill afghanistan
97,WION Fineprint | Thinking of travelling to your dream destination? Think again,9500.0,fineprint thinking travelling dream destination think
98,United States: Bipartisan gun reform unveiled | International News | Latest English News | WION,7400.0,united state bipartisan gun reform unveiled international
99,South Asia Diary | Is Mumbai ready for electric vehicles?,5700.0,south asia diary mumbai ready electric vehicle
100,Gravitas Live with Palki: Putin threatens to use nukes | Putin's latest threat: Warning or bluff?,198000.0,putin threatens use nuke putin threat warning bluff
101,Swedish island comes up with 'Smart Road' | Latest English News | World News | WION,32000.0,swedish island come smart road
102,US inflation shows no signs of slowing down | Latest World News | WION,23000.0,u inflation show no sign slowing
103,United States: Police response an 'abject failure' in Texas Shooting case| International News | WION,3000.0,united state police response abject failure texas shooting case international
104,The Good Life: Decoding the 80/20 rule for the “perfect life”- is it realistic? | Lifestyle | WION,3600.0,good life decoding rule perfect life realistic lifestyle
105,Tensions rise between Taiwan & China – what led to this situation?,38000.0,tension rise taiwan china led situation
106,"Fears of global recession mount; stock, oil market rumble | Latest English News | WION Dispatch",30000.0,fear global recession mount stock oil market rumble dispatch
107,Israeli Knesset votes to dissolve; coalition partners vows to block Netanyahu comeback | World News,6700.0,israeli knesset vote dissolve coalition partner vow block netanyahu comeback
108,"5. 9 magnitude earthquake hits Afghanistan, houses turn to rubble after landslides and quake | WION",45000.0,nine magnitude earthquake hit afghanistan house turn rubble landslide quake
109,"UK Rail Strike disruptions continues, 'it will harm businesses,' says UK PM Boris Johnson | WION",5300.0,uk rail strike disruption continues harm business say uk pm boris johnson
110,"290-year-old 'rare' forest with extinct variety of trees, found in Brazil | WION Originals|",8700.0,year old rare forest extinct variety tree found brazil original
111,WION Live Broadcast: Gimmer of hope for gun reform in the U.S? | U.S dealing with inflation,3700.0,broadcast gimmer hope gun reform u u dealing inflation
112,Russia-Ukraine war | Luhansk: Moscow captures several settlements | Latest World News | WION,56000.0,russia ukraine war luhansk moscow capture several settlement
113,Ukraine war driving inflation across the UK | Latest International Headlines | World News | WION,28000.0,ukraine war driving inflation across uk international headline
114,These countries in Europe have cleanest bathing waters | WION Originals | International News,4900.0,country europe cleanest bathing water original international
115,Indian delegation to visit Sri Lanka to assess crisis | International Headlines | World News | WION,7200.0,indian delegation visit sri lanka ass crisis international headline
116,Why is Kaliningrad at center of row between Russia and Lithuania? | WION Originals,27000.0,kaliningrad center row russia lithuania original
117,WION Live Broadcast: No. 10 seeks to bring a new bill of rights | Afghan Earthquake claims 920 lives,5600.0,broadcast no ten seek bring new bill right afghan earthquake claim nine hundred twenty life
118,Powerful earthquake jolts Afghanistan; 950 killed and 600 injured | Latest English News | WION,26000.0,powerful earthquake jolt afghanistan nine hundred fifty killed six hundred injured
119,European Union backs decision to grant candidate status to Ukraine | WION,7000.0,european union back decision grant candidate status ukraine
120,How does a smart road work? Wireless electric road charging for EVs in Sweden | WION EDGE,10000.0,smart road work wireless electric road charging ev sweden edge
121,Massive 6.1 Quake jolts Afghanistan | Tremors also felt in Neighboring India and Pakistan | WION,21000.0,massive quake jolt afghanistan tremor also felt neighboring india pakistan
122,"Taliban releases five UK nationals, British nationals held for six months | World News | WION",4800.0,taliban release five uk national british national held six month
123,"US vaccinates its youngest, vaccine circulation to improve in the coming days | World News",2000.0,u vaccinates youngest vaccine circulation improve coming day
124,Sudan: Country faces water and food shortage | Latest English News | World News | WION,4500.0,sudan country face water food shortage
125,Ex-workers sue Tesla for laying off staff without notice | International News | English News | WION,5200.0,ex worker sue tesla laying staff without notice international
126,Pakistan's Punjab declares emergency to tackle rising crimes against women | World News | WION,22000.0,pakistan punjab declares emergency tackle rising crime woman
127,Ecuador Protest: Violence escalates in Capital Quito against government's economic policies | WION,4700.0,ecuador protest violence escalates capital quito government economic policy
128,Australian defence minister Richard Marles in India on a four-day visit | International News | WION,5600.0,australian defence minister richard marles india four day visit international
129,Reviving the ailing Pak economy: IMF sets condition for implementation | World News | WION,28000.0,reviving ailing pak economy imf set condition implementation
130,Israel's foreign minister Yair Lapid to be next prime minister | World News | English News | WION,4900.0,israel foreign minister yair lapid next prime minister
131,Plane catches fire after hard landing at Miami Airport | WION Shorts,13000.0,plane catch fire hard landing miami airport short
132,Workplace stress at record high in 2022 | Why the workforce is burnt out? | Business News | WION,7000.0,workplace stress record high two thousand twenty two workforce burnt business
133,Roe v Wade verdict under threat: Ramifications of overturning Abortion laws manifold | WION,2800.0,roe v wade verdict threat ramification overturning abortion law manifold
134,Australian defence minister holds talks with Indian counterpart | International News | WION,2900.0,australian defence minister hold talk indian counterpart international
135,US to reduce Nicotine level in cigarettes to non-addictive level | International News | WION,4100.0,u reduce nicotine level cigarette non addictive level international
136,Indian auto market to be one of top 5: Stellantis India | World Business Watch | WION,2500.0,indian auto market one top stellantis india business watch
137,EU backs decision to grant candidate status to Ukraine | International News | English News | WION,9200.0,eu back decision grant candidate status ukraine international
138,"US vaccinates youngest against covid-19, parents of toddlers express sigh of relief | World News",2200.0,u vaccinates youngest covid pare nots toddler express sigh relief
139,6.1 magnitude earthquake strikes Afghanistan | International News | WION | News Alert,32000.0,magnitude earthquake strike afghanistan international alert
140,Owners of America's Best Restaurant 'Chai Pani' speak to WION | International News,88000.0,owner america best restaurant chai pani speak international
141,Biden to talk to Xi: US to scrap China tariffs amid inflation? | International News | WION,27000.0,biden talk xi u scrap china tariff amid inflation international
142,Kremlin on US prisoners: 'Don't know location of captured US men' | International News | WION,19000.0,kremlin u prisoner not know location captured u men international
143,Mohammed Bin Salman on a regional tour: Crown Prince MBS meets Jordan's king | World News | WION,9500.0,mohammed bin salman regional tour crown prince mb meet jordan king
144,US to have a gasoline tax holiday | Will US plunge into a recession? | Business News | WION,21000.0,u gasoline tax holiday u plunge recession business
145,Australia's Maryborough renovates town hall toilet | World News | English News | WION,2400.0,australia maryborough renovates town hall toilet
146,Report: Air India considers buying 300 planes | World Business Watch | English News | WION,8300.0,air india considers buying three hundred plane business watch
147,A380 makes comeback despite high oil prices | Word Business Watch | English News | WION,4700.0,make comeback despite high oil price word business watch
148,Inside Xi's China: Will the Hungary Dragon be tamed? | WION Special Series | Promo,2600.0,inside xi china hungary dragon tamed special series promo
149,Germany rejects EU plan to ban new fossil-fuel cars from 2035 | Business News | WION,31000.0,germany reject eu plan ban new fossil fuel car two thousand thirty five business
150,Russian gas crisis deepens: Europeans activate first stage of gas crisis plans | Business News,115000.0,russian gas crisis deepens european activate first stage gas crisis plan business
151,"Bangladesh floods displace millions, residents struggling to find shelter | WION Climate Tracker",3800.0,bangladesh flood displace million resident struggling find shelter climate tracker
152,Texas school shooting probe: Role of police under the scanner | Latest English News | WION,5600.0,texas school shooting probe role police scanner
153,Russia-Ukraine conflict: Fight for Severodonetsk in Eastern Ukraine intensifies | World News | WION,154000.0,russia ukraine conflict fight severodonetsk eastern ukraine intensifies
154,US senators unveil 80-page bipartisan bill on gun safety | International News | English News | WION,2400.0,u senator unveil page bipartisan bill gun safety international
155,"No end to turmoil in Sri Lanka: Shortages persist, protests continue | International News | WION",15000.0,no end turmoil sri lanka shortage persist protest continue international
156,"Moscow fumes over Lithuanian ban: 'Your citizens will feel the pain,' says Russia | World News",584000.0,moscow fume lithuanian ban citizen feel pain say russia
157,Roe v Wade: US Supreme court verdict on abortion laws awaited | World News | English News | WION,3100.0,roe v wade u supreme court verdict abortion law awaited
158,"'Good or bad, it's Hong Kong's history,' says the Museum Victoria City's founder | World News | WION",5000.0,good bad hong kong history say museum victoria city founder
159,"Emmanuel Macron meets opposition, seeks to avert political deadlock | International News | WION",11000.0,emmanuel macron meet opposition seek avert political deadlock international
160,Jan 6 Capitol riots hearing: Election workers detail death threats | International News | WION,6300.0,jan six capitol riot hearing election worker detail death threat international
161,Saudi Crown Prince MBS travels to Egypt at start of regional tour | International News | WION,23000.0,saudi crown prince mb travel egypt start regional tour international
162,Britain kicks off biggest rail strike in 30 years | Workers demand higher wages | World News,18000.0,britain kick biggest rail strike thirty year worker demand higher wage
163,Sweltering summer 'roasts' Iraq | Temperatures in Baghdad topped 50°C | WION Climate Tracker,14000.0,sweltering summer roast iraq temperature baghdad topped c climate tracker
164,A large number of refugees return home: Turkey | WION Originals | International News | World News,20000.0,large number refugee return home turkey original international
165,"Close to half a million people displaced as Rainstorms, floods batter Southern China | English News",61000.0,close half million people displaced rainstorm flood batter southern china
166,Knesset to be dissolved: Yair Lapid to take over as caretaker PM | WION,4900.0,knesset dissolved yair lapid take caretaker pm
167,Has Elon Musk failed as a father? | International News | English News | WION,49000.0,elon musk failed father international
168,"Monsoon rains in Bangladesh cause record-breaking floods, millions displaced | WION Climate Tracker",14000.0,monsoon rain bangladesh cause record breaking flood million displaced climate tracker
169,Poland drop Maciej Rybus from World Cup squad | Footballer banished for playing in Russia | WION,1700.0,poland drop maciej rybus cup squad footballer banished playing russia
170,Effects of climate change lead to food shortage | Air Pollution can cause infertility | WION,2350.0,effect climate change lead food shortage air pollution cause infertility
171,Gravitas Global Headlines: India: Opposition picks Prez candidate; Macron rejects PM's resignation,2450.0,global headline india opposition pick prez candidate macron reject pm resignation
172,India's Bharatiya Janata Party names Draupadi Murmu for President's post | WION,27000.0,india bharatiya janata party name draupadi murmu president post
173,Gravitas: Workers worldwide are more stressed than ever before,11500.0,worker worldwide stressed ever
174,Gravitas: Lanka tries to curtail Gotabaya Rajapaksa's powers,10000.0,lanka try curtail gotabaya rajapaksa power
175,Large wildfire in Southern New Jersey: The cause of the fire is not known yet | World English News,4350.0,large wildfire southern new jersey cause fire not known yet
176,Gravitas: Mysterious rocks to reveal secrets of Mars?,80500.0,mysterious rock reveal secret mar
177,Gravitas: Israel set for fifth election in under 4 years,43000.0,israel set fifth election four year
178,Gravitas with Palki Sharma | Yoga Politics: Anti-India fanatics storm event in Maldives | WION,10500.0,yoga politics anti india fanatic storm event maldives
179,Gravitas: Singapore announces $1.1 bn inflation relief package,23000.0,singapore announces bn inflation relief package
180,"Gravitas: Assam floods: 80 dead, millions affected",23500.0,assam flood eighty dead million affected
181,South Asia Diary | App to help Pakistan's deaf community,1350.0,south asia diary app help pakistan deaf community
182,"Gravitas: Europe accused of ""exploiting"" fossil fuel reserves of developing nations",142000.0,europe accused exploiting fossil fuel reserve developing nation
183,Gravitas: Britain faces biggest railway strike in 30 years,47500.0,britain face biggest railway strike thirty year
184,Gravitas: Islamist mob storms Yoga event in Malé,78000.0,islamist mob storm yoga event mal
185,United States: Gasoline tax holiday proposed to curb inflation | Latest World News | WION,8500.0,united state gasoline tax holiday proposed curb inflation
186,Texas School Shooting: Investigation underway in Uvalde police response | WION,3150.0,texas school shooting investigation underway uvalde police response
187,"US: Missouri Senate Eric Greiten's campaign against 'RINO', promotes political violence in video",1950.0,u missouri senate eric greiten campaign rino promotes political violence video
188,Gravitas Live: Islamist mob disrupts Yoga event | Violent mob linked to 'India out' campaign?,91500.0,islamist mob disrupts yoga event violent mob linked india campaign
189,House January 6 committee hearing will focus on Trump's fake electors plan | World News | WION,1200.0,house january six committee hearing focus trump fake elector plan
190,The Good Life: Yoga is not a trend but a lifestyle | Celebrating International Yoga Day | WION,3000.0,good life yoga not trend lifestyle celebrating international yoga day
191,Sri Lanka: Will President Rajapaksa's powers will be curbed? | 21st amendment bill | World News,4500.0,sri lanka president rajapaksa power curbed st amendment bill
192,Gender bender: Sporting bodies review transgender policies as debate heats up | WION Originals,1600.0,gender bender sporting body review transgender policy debate heat original
193,Brussels airport cancels all its flights amid nationwide strikes | International News | WION,80000.0,brussels airport cancel flight amid nationwide strike international
194,Stagflation: What is it and why is it a big deal now? | WION Originals | International News,3200.0,stagflation big deal original international
195,World's largest Stingray discovered in Cambodia| WION Originals | International News| World News,7000.0,largest stingray discovered cambodia original international
196,WION Live Broadcast: House panel probing Jan 6 riot | Texas school shooting: New details emerge,2400.0,broadcast house panel probing jan six riot texas school shooting new detail emerge
197,"Trains halted across England, Wales, Scotland; workers demand higher wages | World News | WION",11000.0,train halted across england wale scotland worker demand higher wage
198,‘Summer of hell’: Iraq city’s scorching heat amid vulnerable climate change | WION EDGE,2500.0,summer hell iraq city scorching heat amid vulnerable climate change edge
199,Different countries and their steps towards banning single-use plastic | WION Originals,1650.0,different country step towards banning single use plastic original
200,No clean chit for 21st amendment bill from Sri Lankan Supreme Court | Latest English News | WION,1850.0,no clean chit st amendment bill sri lankan supreme court
201,Will Macron save government from paralysis? High-level talks at Elysee palace | World News | WION,3250.0,macron save government paralysis high level talk elysee palace
202,"Growing cases of mass violence in Nigeria, gunmen kidnap 46 villagers | Latest World News | WION",9000.0,growing case mass violence nigeria gunman kidnap forty six villager
203,"UK Rail strike: First of three strikes underway across UK, people advised not to travel | World News",8000.0,uk rail strike first three strike underway across uk people advised not travel
204,From New Zealand to India: Countries and their cost of living crisis | WION Originals | World News,6500.0,new zealand india country cost living crisis original
205,Israeli FM to visit Turkiye on Thursday: Israel & Turkiye working to stop attacks | English News,1650.0,israeli fm visit turkiye thursday israel turkiye working stop attack
206,"Europe's energy woes worsen: Austria, Germany revert to coal | Denmark declares 'Early warning'",81000.0,europe energy woe worsen austria germany revert coal denmark declares early warning
207,Indian PM Narendra Modi leads the International Yoga Day event & says Yoga brings peace | WION,2300.0,indian pm narendra modi lead international yoga day event say yoga brings peace
208,Decoding the historical grievances: 200 killed in Ethiopia's Oromia region | World English News,3500.0,decoding historical grievance two hundred killed ethiopia oromia region
209,Nepal: Protests against fuel price hike; Police fire tear gas at protesters | World English News,2400.0,nepal protest fuel price hike police fire tear gas protester
210,UK Rail Strike: UK PM Boris Johnson calls for compromise | Biggest strike in 30 years | WION,6000.0,uk rail strike uk pm boris johnson call compromise biggest strike thirty year
211,"Close to half a million people displaced as Rainstorms, floods batter Southern China | English News",8500.0,close half million people displaced rainstorm flood batter southern china
212,Knesset to be dissolved next week: Lapid to be Israel's PM under a power-sharing deal | WION,1900.0,knesset dissolved next week lapid israel pm power sharing deal
213,World's largest freshwater fish on record: A stingray weighing 300 kgs caught in Cambodia | WION,5500.0,largest freshwater fish record stingray weighing three hundred kg caught cambodia
214,Hong Kong's floating diner sinks in the South China Sea | Restaurant shut operations in 2020 | WION,11500.0,hong kong floating diner sink south china sea restaurant shut operation two thousand twenty
215,Moscow to summon EU envoy over Lithuania's transit ban to Kaliningrad | World English News | WION,37000.0,moscow summon eu envoy lithuania transit ban kaliningrad
216,A dark page in Belgium's history: Belgium returns Lumumba tooth to family | World English News,11500.0,dark page belgium history belgium return lumumba tooth family
217,Amber Heard’s face most beautiful in the world. Find out how | WION Originals,8000.0,amber heard face beautiful find original
218,Canada's single-use plastics ban: Government targets 2030 to eliminate plastic waste | WION,2100.0,canada single use plastic ban government target two thousand thirty eliminate plastic waste
219,EU Foreign Affairs Cheif Josep Borrell Fontelles slams Russia over global food crisis | WION,5500.0,eu foreign affair cheif josep borrell fontelles slam russia global food crisis
220,Russian journalist Dmitry Muratov auctions Nobel medal for Ukraine aid | World English News | WION,2850.0,russian journalist dmitry muratov auction nobel medal ukraine aid
221,Heathrow apologises to passengers as it cancels around 30 flights | World English News | WION,2300.0,heathrow apologises passenger cancel around thirty flight
222,Russia-Ukraine Conflict: Zelensky defiant even as rebels claim take over of Toshkivka | WION,54000.0,russia ukraine conflict zelensky defiant even rebel claim take toshkivka
223,Lithuania's transit ban to Kaliningrad: Russia vows response over the ban | World English News,87000.0,lithuania transit ban kaliningrad russia vow response ban
224,Nigeria marred with a surge in violence: Armed men attack villages and two churches | English News,3200.0,nigeria marred surge violence armed men attack village two church
225,Israel set for 5th election since 2019 | Lapid to be PM under a power-sharing deal | English News,3150.0,israel set th election since two thousand nineteen lapid pm power sharing deal
226,Future of mobility: The mobility sector has recovered post-COVID pandemic | World English News,2000.0,future mobility mobility sector recovered post covid pandemic
227,Russia-Ukraine War: Unemployment in the EU zone at a record low | World English News | WION,10500.0,russia ukraine war unemployment eu zone record low
228,The US mulls cap on Russian oil price: Ban possible on insurance or oil financing | English News,10000.0,u mull cap russian oil price ban possible insurance oil financing
229,Tesla: Former employees sue for mass layoffs | Workers terminated from Gigafactory plant | WION,4400.0,tesla former employee sue mass layoff worker terminated gigafactory plant
230,Global Air Transport: Cost-of-living crisis lurk as a threat | World Latest English News | WION,2250.0,global air transport cost living crisis lurk threat
