,News_Heading,Duration,Views,Upload_Datetime,Days_from_upload,Clean_views,Views_per_day
58,Ukraine: Inside The Exodus | Wion Wideangle,23:39,2.3M,3 months ago,90,2300000.0,25556.0
59,Gravitas: Panic buying in China,7:07,2.3M,7 months ago,210,2300000.0,10952.0
60,Gravitas Plus: Everything you must know about the deadly Forever Chemicals,8:59,2.3M,11 months ago,330,2300000.0,6970.0
61,Russia Ukraine crisis: WION's Anas Mallick's gets interrupted by a rocket strike on Kyiv,0:59,2.3M,3 months ago,90,2300000.0,25556.0
62,Gravitas Plus: The race for Africa,7:45,2.2M,1 year ago,360,2200000.0,6111.0
63,"Gravitas Plus | Dear China, stop COPYING!",6:36,2.2M,1 year ago,360,2200000.0,6111.0
64,Russia-Ukraine Conflict: France warns world on war as NATO deploys rapid response force | WION,4:35,2.2M,3 months ago,90,2200000.0,24444.0
65,Gravitas: Taliban claims it can fix 'dismantled' U.S. Aircraft,5:49,2.2M,9 months ago,270,2200000.0,8148.0
66,Gravitas: Filipino diplomat swears at China,6:01,2.2M,1 year ago,360,2200000.0,6111.0
67,Ukrainians prep to defend themselves as people prepare for a possible invasion by Russia | WION,16:50,2.2M,4 months ago,120,2200000.0,18333.0
68,Russia releases video claiming an attack on military site | Russia Ukraine Conflict | English News,1:44,2.1M,3 months ago,90,2100000.0,23333.0
69,"Gravitas Plus: UFOs, Aliens & Science",9:56,2.1M,1 year ago,360,2100000.0,5833.0
70,Watch: Ukraine’s Zelensky lashes out at NATO over no-fly zone request | Russian invasion,5:56,2.1M,3 months ago,90,2100000.0,23333.0
71,Gravitas: Saudi Arabia is drifting away from America,3:46,2.1M,3 months ago,90,2100000.0,23333.0
72,LIVE: US Election 2020 Results | Donald Trump vs Joe Biden | US Presidential Election Results Live,8:17:02,2.1M,Streamed 1 year ago,360,2100000.0,5833.0
73,Gravitas Plus: India & Russia: A time-tested friendship,9:47,2M,6 months ago,180,2000000.0,11111.0
74,Wuhan Coronavirus: China sued for $20 trillion in damages | Gravitas,2:47,2M,2 years ago,720,2000000.0,2778.0
75,Kabul airport overwhelmed amid evacuations of Afghans after Taliban's siege in country | Afghanistan,4:06,1.9M,10 months ago,300,1900000.0,6333.0
76,"Gravitas: Angela Merkel says Europe ""Allowed India"" to become a pharma hub",5:01,1.9M,1 year ago,360,1900000.0,5278.0
77,Tonga calls for 'immediate aid' as another large eruption detected | Volcano | Latest English News,5:10,1.9M,5 months ago,150,1900000.0,12667.0
78,Reports: Ukraine shoots down Russian jet | Residential buildings burn following the plane crash,1:57,1.9M,3 months ago,90,1900000.0,21111.0
79,Gravitas: Revealed: How Pfizer blackmails countries for shots,7:33,1.9M,8 months ago,240,1900000.0,7917.0
80,"Bitcoin, Cryptocurrency & Blockchain: What's driving the craze?",9:29,1.9M,1 year ago,360,1900000.0,5278.0
81,Norway | Anti-Islam protesters ripped pages from Muslim holy book | Anti-Islam rally | World News,2:42,1.8M,1 year ago,360,1800000.0,5000.0
82,Gravitas Plus: The many shades of Imran Khan,9:13,1.8M,2 months ago,60,1800000.0,30000.0
83,Gravitas: Russian State TV issues a chilling warning,3:09,1.8M,1 month ago,30,1800000.0,60000.0
84,Germany: 54-year old Minister commits suicide as 'he was worries of COVID-19 impacts',3:26,1.8M,2 years ago,720,1800000.0,2500.0
85,Sasikala's wait gets longer,17:45,1.8M,5 years ago,1800,1800000.0,1000.0
86,Gravitas: 'Sleepy Joe' Saudi TV ridicules Joe Biden,4:40,1.8M,2 months ago,60,1800000.0,30000.0
87,Wuhan: Coronavirus positive doctors' skin goes dark after treatment | Gravitas,3:48,1.8M,2 years ago,720,1800000.0,2500.0
88,The Israel-Palestine Flare-Up: Israel bombs Hamas Gaza Chief's home | Latest English News | WION,2:49,1.8M,1 year ago,360,1800000.0,5000.0
89,Wife of former Ukrainian MP tries to flee country with 28 million dollars and 1.3 million euros,1:59,1.8M,3 months ago,90,1800000.0,20000.0
90,Gravitas Plus: The Great Indian Brain Drain,8:08,1.7M,5 months ago,150,1700000.0,11333.0
91,Gravitas: Gulf states slam India for ‘insulting the Prophet',6:43,1.7M,2 weeks ago,14,1700000.0,121429.0
92,Gravitas: Ukraine invasion: Has Russia lost China's support?,4:31,1.7M,3 months ago,90,1700000.0,18889.0
93,"The Trump Card: Trump, First Lady welcome Modi at the White House",2:37,1.7M,4 years ago,1440,1700000.0,1181.0
94,Gravitas Plus: Is your health food healthy?,9:34,1.7M,1 year ago,360,1700000.0,4722.0
95,"Gravitas: Saudi Arabia, UAE ignore phone calls from Biden",5:17,1.7M,3 months ago,90,1700000.0,18889.0
96,"Residents scream from windows, horrifying videos emerge from Shanghai | China covid crisis",2:54,1.7M,2 months ago,60,1700000.0,28333.0
97,Gravitas: Wuhan Coronavirus: Six videos that triggered a panic,6:25,1.7M,2 years ago,720,1700000.0,2361.0
98,Gravitas: Western media's racist reportage on Ukrainian refugees,6:23,1.7M,3 months ago,90,1700000.0,18889.0
99,In response to mounting western sanctions Russian president Putin raises threats of nuclear war,3:33,1.7M,3 months ago,90,1700000.0,18889.0
100,Gravitas: China retaliates after Biden's Taiwan comment,4:39,1.7M,3 weeks ago,21,1700000.0,80952.0
101,Gravitas Plus: The Supply chain crisis,8:57,1.7M,8 months ago,240,1700000.0,7083.0
102,Gravitas Plus: The Story of Jerusalem | Palki Sharma,9:35,1.7M,1 year ago,360,1700000.0,4722.0
103,Gravitas Plus: Here's what the pandemic will look like in 2022,8:26,1.7M,6 months ago,180,1700000.0,9444.0
104,Gravitas Plus: What is the Khalistan movement?,9:58,1.6M,1 year ago,360,1600000.0,4444.0
105,"WION Global Summit: China's Military | Power, Provocations and Propaganda | Session Two",48:44,1.6M,1 year ago,360,1600000.0,4444.0
106,Gravitas: Why are Indians being targeted in South Africa?,5:32,1.6M,11 months ago,330,1600000.0,4848.0
107,Gravitas: Stand-off in South China sea: Indonesia's stern message to China,4:50,1.6M,2 years ago,720,1600000.0,2222.0
108,Gravitas Plus: Actor Puneeth Rajkumar's death highlights the risk of intense workout,9:56,1.6M,7 months ago,210,1600000.0,7619.0
109,Ukraine-Russia talks at Belarus border after Lukashenko dialled Zelensky amid Russian invasion,3:59,1.6M,3 months ago,90,1600000.0,17778.0
110,The US to activate Nuclear response team amid reports of a fire at Europe's largest nuclear plant,7:33,1.6M,3 months ago,90,1600000.0,17778.0
111,Gravitas: Americans are buying second passports,4:22,1.6M,1 month ago,30,1600000.0,53333.0
112,"Israel-Hamas violence escalates: 49 Palestinians, 6 Israelis killed | Gaza | Airstrikes | World News",7:29,1.6M,1 year ago,360,1600000.0,4444.0
113,Gravitas: Israel & Hamas exchange rocket fire,6:01,1.6M,1 year ago,360,1600000.0,4444.0
114,"Gravitas: Over 200,000 subscribers leave Netflix",4:55,1.6M,2 months ago,60,1600000.0,26667.0
115,Gravitas: India's fears come true: Taliban targets Indian project,6:59,1.6M,11 months ago,330,1600000.0,4848.0
116,Gravitas: Russia enters Kyiv on second day of invasion,6:55,1.6M,3 months ago,90,1600000.0,17778.0
117,Clashes between Indian and Chinese troops at Naku La near Sikkim border | World News,13:55,1.6M,1 year ago,360,1600000.0,4444.0
118,Kashmiri militants play cricket with AK47 as wicket,1:00,1.6M,4 years ago,1440,1600000.0,1111.0
119,Gravitas: China claims ownership of a Russian city,6:30,1.5M,1 year ago,360,1500000.0,4167.0
120,Gravitas | Rich countries let India down: America's top infectious disease expert,5:13,1.5M,1 year ago,360,1500000.0,4167.0
121,"Gravitas: French family leapt off balcony ""one by one""",3:10,1.5M,2 months ago,60,1500000.0,25000.0
122,Gravitas Plus: Will Apple be the Next Nokia?,8:54,1.5M,1 year ago,360,1500000.0,4167.0
123,"US gives green light to Poland to supply fighter jets | Ukraine uses Soviet-made MiGs, Su Jets |WION",6:05,1.5M,3 months ago,90,1500000.0,16667.0
124,"Pakistan: Four women stripped, were paraded naked and assaulted by men in Faisalabad | World News",7:16,1.5M,6 months ago,180,1500000.0,8333.0
125,Michigan nurse's video on COVID-19 goes viral | Coronavirus News | World News,0:29,1.5M,2 years ago,720,1500000.0,2083.0
126,Gravitas Plus | Taliban's Rise: The threat to India,9:47,1.5M,11 months ago,330,1500000.0,4545.0
127,Gravitas: Pfizer's abusive vaccine deals,7:45,1.5M,1 year ago,360,1500000.0,4167.0
128,"Israel: Over 12,000 people test positive for COVID-19 after receiving Pfizer vaccine",1:55,1.5M,1 year ago,360,1500000.0,4167.0
129,Gravitas: 7 Videos that show life under Taliban,5:46,1.5M,10 months ago,300,1500000.0,5000.0
130,Gravitas Plus: China is Weaponising the Belt and Road Initiative,8:41,1.5M,6 months ago,180,1500000.0,8333.0
131,Gravitas: How nature is reclaiming its spaces due to Coronavirus,3:40,1.5M,2 years ago,720,1500000.0,2083.0
132,Gravitas: Russia's Air Force 'missing in action',4:50,1.5M,3 months ago,90,1500000.0,16667.0
133,"Russia Ukraine Conflict: Series of explosions reported in Ukraine's capital Kyiv, other cities",17:01,1.5M,3 months ago,90,1500000.0,16667.0
134,Gravitas: Bill Gates says no to sharing vaccine formulas to developing world,5:56,1.5M,1 year ago,360,1500000.0,4167.0
135,Gravitas Plus: How did North Korea become the world's most isolated country?,9:44,1.5M,1 year ago,360,1500000.0,4167.0
136,Gravitas Ukraine Direct: Inside Ukraine's training camp for foreign fighters,10:46,1.5M,4 months ago,120,1500000.0,12500.0
137,Watch how Rashtriya Rifles battalion answers the call of duty in Kashmir,7:05,1.5M,4 years ago,1440,1500000.0,1042.0
138,Gravitas: Finland prepares for a potential war with Russia,4:55,1.4M,2 months ago,60,1400000.0,23333.0
139,Gravitas Plus: Do you alternate between binging and dieting? Watch this,9:23,1.4M,3 months ago,90,1400000.0,15556.0
140,Why are the refugees going back to Ukraine? | Wion Originals,1:46,1.4M,3 months ago,90,1400000.0,15556.0
141,Gravitas: Why WION's interview with Taiwan's Foreign Minister has rattled China,7:58,1.4M,1 year ago,360,1400000.0,3889.0
142,Gravitas: Bolsonaro sceptic on Vaccine side-effects,4:58,1.4M,1 year ago,360,1400000.0,3889.0
143,Gravitas: Why is Russia not winning in Ukraine?,6:30,1.4M,3 months ago,90,1400000.0,15556.0
144,Gravitas: Biggest Covid scam in the world?,5:35,1.4M,6 months ago,180,1400000.0,7778.0
145,Gravitas: How Britain Looted $45 Trillion From India,6:44,1.4M,3 years ago,1080,1400000.0,1296.0
146,Thousands flock to see dwarf cow in Bangladesh | World's Smallest Cow | Guinness World Records |WION,3:59,1.4M,11 months ago,330,1400000.0,4242.0
147,Gravitas LIVE with Palki| Russia's invasion plan leaked | Russia-Ukraine conflict| World News | WION,46:05,1.4M,Streamed 3 months ago,90,1400000.0,15556.0
148,Gravitas: This Russian missile can destroy any target on earth,3:00,1.4M,2 months ago,60,1400000.0,23333.0
149,Viral Video: Afghan citizens express displeasure with Afghanistan Army by throwing stones and shoes,1:23,1.4M,10 months ago,300,1400000.0,4667.0
150,Gravitas: How India reacted to General Rawat's death,6:17,1.4M,6 months ago,180,1400000.0,7778.0
151,"Vijay Mallya booed with 'chor, chor' chants as he entered the Oval stadium",0:38,1.4M,5 years ago,1800,1400000.0,778.0
152,Gravitas: Russia's Economy is in crisis: Here's why,5:18,1.4M,3 months ago,90,1400000.0,15556.0
153,"Gravitas: Saudi Arabia does the unthinkable, throws a 'rave party' in Riyadh",4:54,1.4M,6 months ago,180,1400000.0,7778.0
154,Gravitas Plus: The genesis of Kashmir issue | Palki Sharma Live | India | Jammu And Kashmir,9:47,1.4M,10 months ago,300,1400000.0,4667.0
155,Gravitas: Biden trolled for 'shaking hands' with thin air,3:09,1.4M,2 months ago,60,1400000.0,23333.0
156,This is why IIT is not counted in the top 200 institutes in the world,1:44,1.3M,5 years ago,1800,1300000.0,722.0
157,Gravitas Plus: Why the West is winning the Information War,7:46,1.3M,3 months ago,90,1300000.0,14444.0
158,Russia warns UK of immediate 'proportional response' if it continues direct provocation of Ukraine,2:19,1.3M,1 month ago,30,1300000.0,43333.0
159,US Vice President Harris under fire for laughing when asked about Ukraine's refugees | English News,3:49,1.3M,3 months ago,90,1300000.0,14444.0
160,Gravitas Plus: Why do the British love fugitive Billionaires?,6:05,1.3M,1 year ago,360,1300000.0,3611.0
161,Gravitas Ukraine Direct: 'Shame On You' US-born Chinese athlete faces abuse,3:58,1.3M,4 months ago,120,1300000.0,10833.0
162,Palestinians gathered at Al-Aqsa to celebrate Eid amid Israel-Hamas conflict | Gaza | Jerusalem,1:40,1.3M,1 year ago,360,1300000.0,3611.0
163,Gravitas: Did Dr. Fauci fund Wuhan Virus research?,7:25,1.3M,1 year ago,360,1300000.0,3611.0
164,Gravitas: Global reaction to Russian invasion of Ukraine,8:02,1.3M,3 months ago,90,1300000.0,14444.0
165,Gravitas Plus | Rare Earths: China's 'secret weapon',7:39,1.3M,1 year ago,360,1300000.0,3611.0
166,Russia-Ukraine Conflict: Trump slams NATO leaders for handling Ukraine crisis | Latest English News,13:21,1.3M,3 months ago,90,1300000.0,14444.0
167,"US official: West to hunt down Russian oligarchs' yachts, jets, fancy cars | Russia-Ukraine Conflict",8:25,1.3M,3 months ago,90,1300000.0,14444.0
168,Inside Gaza's underground tunnel,5:48,1.3M,1 year ago,360,1300000.0,3611.0
169,Gravitas Plus: Selling your country for cash,7:16,1.3M,1 year ago,360,1300000.0,3611.0
170,Gravitas: What is Black Fungus or Mucormycosis?,4:57,1.3M,1 year ago,360,1300000.0,3611.0
171,Gravitas: Wuhan Coronavirus: Will China profit from the outbreak?,8:32,1.3M,2 years ago,720,1300000.0,1806.0
172,59 Chinese App Ban: Beijing's first reaction to India's ban on 59 Chinese apps | WION News,11:05,1.3M,1 year ago,360,1300000.0,3611.0
173,"Gravitas: Russia invades Ukraine, Putin attacks by sea, land & air",9:07,1.3M,3 months ago,90,1300000.0,14444.0
174,Five people killed inside Kabul airport following attempts of massive evacuation | Afghanistan,5:52,1.2M,10 months ago,300,1200000.0,4000.0
175,Russian President Putin arrives in Geneva for summit with Biden | High-stakes summit in Geneva| News,12:53,1.2M,1 year ago,360,1200000.0,3333.0
176,"Trump blames Biden for Taliban takeover of Afghanistan, seeks his resignation | Taliban takes Kabul",1:47,1.2M,10 months ago,300,1200000.0,4000.0
177,"Dubai stares at an economic collapse, pandemic leaves Dubai scrambling for money",3:50,1.2M,2 years ago,720,1200000.0,1667.0
178,Gravitas: Shanghai: Residents beaten up by healthcare workers,6:32,1.2M,2 months ago,60,1200000.0,20000.0
179,"COVID-19: India to be hit by 3rd wave in October, claims study",2:53,1.2M,1 year ago,360,1200000.0,3333.0
180,Gravitas: Small Pacific Nations reject China's deal,6:20,1.2M,3 weeks ago,21,1200000.0,57143.0
181,Gravitas: The story of NXIVM & Allison Mack,4:39,1.2M,11 months ago,330,1200000.0,3636.0
182,Wuhan Coronavirus: Thai King in self-isolation with 20 women | Gravitas | COVID-19 Lockdown Updates,3:20,1.2M,2 years ago,720,1200000.0,1667.0
183,Russia demands guarantee from the US as Vienna talks reach a critical stage | World English News,2:11,1.2M,3 months ago,90,1200000.0,13333.0
184,Gravitas: Coronavirus: China blocking a discussion at UN?,4:56,1.2M,2 years ago,720,1200000.0,1667.0
185,Gravitas: Wuhan Coronavirus: Japan will pay companies to move out of China,4:51,1.2M,2 years ago,720,1200000.0,1667.0
186,EU rejects Ukraine's plea for 'immediate' membership | Russia-Ukraine Conflict | WION English News,1:35,1.2M,3 months ago,90,1200000.0,13333.0
187,Gravitas: How Austria is dismantling Islamist infrastructure within its borders,5:33,1.2M,1 year ago,360,1200000.0,3333.0
188,Gravitas Plus | Justin Trudeau: A far cry from a statesman,8:32,1.2M,1 year ago,360,1200000.0,3333.0
189,Gravitas: Pakistan pays the price for helping the Taliban,4:36,1.2M,9 months ago,270,1200000.0,4444.0
190,Exclusive: Leon Panetta on India's role in the Bin Laden mission | Gravitas,9:05,1.2M,1 year ago,360,1200000.0,3333.0
191,Gravitas: China celebrates India's suffering,4:27,1.2M,1 year ago,360,1200000.0,3333.0
192,Gravitas Plus: Why is Xi Jinping cracking down on everyone?,9:37,1.2M,8 months ago,240,1200000.0,5000.0
193,Japan sends destroyer to track China's Liaoning aircraft | Okinawa islands | Latest English News,1:37,1.2M,1 year ago,360,1200000.0,3333.0
194,Gravitas: New Variant of Wuhan Virus discovered,6:04,1.2M,6 months ago,180,1200000.0,6667.0
195,Gravitas: Wuhan Coronavirus: Taiwan's big claim against WHO,4:08,1.2M,2 years ago,720,1200000.0,1667.0
196,Gravitas: Indonesia suffers as Chinese Vaccines fail,5:14,1.2M,11 months ago,330,1200000.0,3636.0
197,Gravitas: China dumps Imran Khan & the Rajapaksas,5:55,1.2M,2 months ago,60,1200000.0,20000.0
198,Huge Russian convoy moving towards Kyiv as Russian invasion of Ukraine enters day 5 | English News,8:46,1.2M,3 months ago,90,1200000.0,13333.0
199,Gravitas: 3 world leaders step up pressure on China,6:09,1.2M,2 years ago,720,1200000.0,1667.0
200,Reports: Coronavirus was originated in a Wuhan Lab,3:58,1.2M,2 years ago,720,1200000.0,1667.0
201,Gravitas: Truckers protest turns into Anti-Trudeau movement,4:31,1.2M,4 months ago,120,1200000.0,10000.0
202,Russia-Ukraine peace talks begin as conflict enters fifth day | World English News | Latest Updates,3:31,1.1M,3 months ago,90,1100000.0,12222.0
203,Gravitas: US debates India's non-alignment on Ukraine,5:24,1.1M,3 months ago,90,1100000.0,12222.0
204,Gravitas: 5 questions that China must answer | Wuhan Coronavirus,5:09,1.1M,2 years ago,720,1100000.0,1528.0
205,Black Fungus on rise in India | COVID-19 infection | What is black fungus | Latest English News,2:36,1.1M,1 year ago,360,1100000.0,3056.0
206,Gravitas: Woman gang-raped in Facebook's metaverse,4:46,1.1M,4 months ago,120,1100000.0,9167.0
207,Gravitas: French nuclear submarine patrols South China Sea,4:02,1.1M,1 year ago,360,1100000.0,3056.0
208,Day 20 of the Russian invasion of Ukraine: Kremlin warns Russian can take 'full control' | WION,3:09,1.1M,3 months ago,90,1100000.0,12222.0
209,Gravitas: Why hundreds of birds fell to death in Mexico,3:06,1.1M,4 months ago,120,1100000.0,9167.0
210,Gravitas: Genetically modified mosquitoes arrive in Florida,3:22,1.1M,1 year ago,360,1100000.0,3056.0
211,Gravitas Plus | Crude oil skyrockets: How Ukraine war will hit your household budget,7:46,1.1M,3 months ago,90,1100000.0,12222.0
212,Tech giant YouTube forced to unblock WION after global outrage,9:06,1.1M,2 months ago,60,1100000.0,18333.0
213,Gravitas: India's fourth Covid-19 wave in June?,7:00,1.1M,3 months ago,90,1100000.0,12222.0
214,US secures Kabul airport to evacuate staff from country | Taliban takes Kabul | Afghanistan News,11:41,1.1M,10 months ago,300,1100000.0,3667.0
215,Wuhan Coronavirus: 30 countries request India for medicine supplies | Gravitas,4:28,1.1M,2 years ago,720,1100000.0,1528.0
216,Ukraine says that it will free captive Russian soldiers amid the ongoing Russian invasion of Ukraine,5:19,1.1M,3 months ago,90,1100000.0,12222.0
217,Gravitas: Are Norway & Sweden victims of 'Islamisation'?,7:17,1.1M,1 year ago,360,1100000.0,3056.0
218,Gravitas Plus | France Elections: Why you should care,8:44,1.1M,2 months ago,60,1100000.0,18333.0
219,Gravitas Plus: The secret to happiness,9:48,1.1M,1 year ago,360,1100000.0,3056.0
220,Gravitas Plus | Financial Literacy: The need of the hour,7:28,1.1M,11 months ago,330,1100000.0,3333.0
221,Gravitas: Saudi Royals are selling their assets: Here's why,4:27,1.1M,1 month ago,30,1100000.0,36667.0
222,"Putin-Macron hold 90-minute conversation, former sets conditions for settlement of Ukraine conflict",1:24,1.1M,3 months ago,90,1100000.0,12222.0
223,Gravitas: China's attempts to seek praise backfires | Wuhan Coronavirus,3:36,1.1M,2 years ago,720,1100000.0,1528.0
224,"War of words over Taiwan: 'We do not support Taiwan independence,' says US | WION Fineprint",10:34,1.1M,11 days ago,11,1100000.0,100000.0
225,Gravitas: India's Vaccine Prince unmasked,6:57,1.1M,1 year ago,360,1100000.0,3056.0
226,Gravitas Plus: The future of Oil,7:43,1.1M,1 year ago,360,1100000.0,3056.0
227,Gravitas: China blows up replica of Taiwan's naval base,4:47,1.1M,1 month ago,30,1100000.0,36667.0
228,Gravitas: Harvard professor linked to the Coronavirus outbreak? | COVID-19 | Coronavirus,4:50,1.1M,2 years ago,720,1100000.0,1528.0
229,Gravitas: Trudeau government is silent about who got billions in aid,4:26,1.1M,1 year ago,360,1100000.0,3056.0
230,Gravitas: Chinese citizens want to sue their government,5:59,1.1M,2 years ago,720,1100000.0,1528.0
231,US & Russia send mercenaries to fight? Ukraine reports foreign fighters in Kyiv | English News,2:18,1.1M,3 months ago,90,1100000.0,12222.0
232,Gravitas Today | A fresh wave of Crackdown in China | WION News | Palki Sharma | Wuhan Coronavirus,5:57,1.1M,2 years ago,720,1100000.0,1528.0
233,Gravitas Plus: The Shia-Sunni Divide: Understanding the split,8:50,1.1M,8 months ago,240,1100000.0,4583.0
